title	0	1	2
1. Python For Exploit Development	"The talk is an introduction about exploit development using python , The talk will help you develop fuzz and understand overflows in the stack using assembly debuggers and python. The Talk will be based on the book ""Black Hat Python"""	Basic understanding of what are zero days and exploits, Understanding of arm architecture. Concepts like working of stack and heap.	"CTO Innov8 coworking, 
Past (CTO Of Exploride Technologies , Asia's Largest crowd funded product)"
10. An update on SymEngine, a fast symbolic manipulation library	"SymPy is a widely used symbolic manipulation library in Python. While SymPy
turns out to be very useful for many applications, one of the long term
problems with SymPy is that the speed might be insufficient when handling of
very large expressions is required. Another problem with SymPy is that due to
being written in Python, it can be cumbersome to use from other languages like
Julia, Ruby, JavaScript or C++, because it requires, say, a Python to Julia
bridge, which might not always be robust and which inflicts additional
overhead."	"For these reasons, we implemented SymEngine, an open source C++ symbolic
manipulation library, with the goal of being the fastest library for symbolic
manipulation (opensource or commercial), and allowing natural wrappers to other
languages like Python (the most mature wrapper), Ruby, Julia and others."	"We will show benchmarks against other computer algebra systems (opensource and
commercial) as well as examples of usage from Python (SymPy and Sage), Ruby and
Julia. We will present a roadmap how to port SymPy on top of SymEngine."
100. Android App Development using Kivy	While the Android App development process is already quite simple and easy to dive into but using Python instead of Java has its own advantages. This talk is mainly for Python enthusiasts who want to utilize the Python libraries to develop awesome android applications.	Kivy is an open source library for developing multi-touch applications. It is cross-platform (Linux/OSX/Windows/Android/iOS) and released under the terms of the MIT License.	Basic Python Syntax
101. Adding more features of OpenCV in C++ to Python	OpenCV (Open Source Computer Vision Library) has been extensively used for computer vision and image processing. The libraries which are used for it are highly documented for C++ but many features are not present in Python libraries. Python is a very easy to use language for even complex problems if we somehow write more and more libraries for OpenCV in python things would be really easy for many developers.	Opencv ,Python , Basics of image processing and computer vision.	I am a student in the 3rd year engineering in the branch of Computer Science .College Of Engineering and Technology,Bhubaneswar.I am a enthusiasts , hobbyist and love to try new things . I work on OpenCV, MEAN stack development and IoT stuffs. I love to read tech articles and try implementing some of them.
102. Building a Image Recognition Service with Deep learning and Python	Python, Machine Learning, AWS	"ex-flipkart, pythoniast, hacker and a explorer. 
Now working purely with python with CredR in Mumbai. "	No comments added so far.
103. Deploy python applications anywhere (Cloud, Raspberry Pi) using docker 	Docker images can deploy identically across any environment in seconds, creating a massive and growing ecosystem of applications packaged in Docker containers. In this session we will look at a continuous delivery flow of a dockerized python application. We will also look at how docker can be used with devices like raspberry pi, where we will focus on deploying a dockerized python application which controls the Lego Mindstorm Sensors/Motors using Raspberry pi and Brickpi.	Understanding of Continuous Delivery, Infrastructure as code and docker containers	Maninderjit Bindra is a Solutions Architect, and has 16 years of industry experience. He has designed and implemented several high volume, business critical applications and APIs, using open source Technologies. In his current role (Technical Evangelist with Microsoft) he helps partners, customers and developers in building scalable and resilient solutions on the Microsoft cloud platform.
104. Visualizing government reports with Python	For demonstration we pick Police Crime records and compare them across years and locations.	Pandas comes into play here.	Analysis*
105. Machine Learning with Python	Python is an indispensable tool for many data scientists. It is used in all phases of the ML workflow typically in modeling, data ingestion and processing, to feature construction to training and validation and deployment of models. In this session, we will create python scripts and use them in Azure Machine Learning Studio to construct a  machine learning experiment and also seamlessly publish them as scalable, operationalized web services. We will also demonstrate the integration of popular python libraries.	Python, interest in ML	Gandhali is a Sr. Technology evangelist who has been working with various technologies for over 15 years. Gandhali has worked with several MNCs in India and abroad, primarily in the insurance and retail domain. In her current role as a Certified Azure Solution specialist, she helps partners, customers and developers in building world-class solutions on Azure cloud platform. A graduate in computer engineering from the University Of Mumbai, Gandhali holds a Master’s degree in Computer Science from the Florida Institute Of Technology.  Gandhali currently works at Microsoft.
106. Kaggle-ing with Python	I'll keep it short.	This talk answers the following in roughly the order prescribed:	No comments added so far.
107. Big Data Analysis using PySpark	Attendees should be comfortable with Python.	No comments added so far.	
