title	Content URLs:	Description:	Prerequisites:	Speaker Info:	Speaker Links:	comments	year	selected
Introduction to Mathematical modeling and Optimization using Python	The content slides aren't available now, but will be updated in due time.Convex Optimization and related literature can be found here : convex optimizationCvx-opt Literature can be accessed from here: cvx-opt-user-guide	"This tutorial attends to the concepts of mathematical modeling and optimization.
In an era where mathematical programming and machine learning are increasingly intertwined, optimization
finds strong relevance. This workshop will discuss how to mathematically model real world problems and solve
them using optimization tools in python.Machine learning researchers have embraced the advances in mathematical programming
allowing new types of models to be pursued [1][2]. Mathematical programming puts a premium 
on accuracy, speed and robustness. Future novel machine learning models and novel 
optimization models will only continue to grow with advancement of time.Generally, optimization includes finding best available values of some objective function
given a defined set of constraints. This field of study comes under the field of 
Operational Research (OR) methods, with a wide range of problem solving techniques use to
improve decision making and efficiency. The areas of such application lies in financial engineering,
marketing, revenue management to transportation problems.  We will also discuss area where
optimization finds application in machine learning scenarios and possible limitations.
As part of beginner material, we will model using Linear Programming (LP) method and solve our modeled problem using convex optimization solver, cvx-opt.The workshop will be in two phases:How to mathematically model and use cvx-opt solver to model optimization problem as LP.Use the knowledge gained in 1. to real life problems.Using Python for Optimization:Python has numerous powerful solver packages for scientific computing. For this workshop
we will use the cvx-opt package, software package for convex optimization based on the 
Python programming language. Bibliography[1] Kristin P. Bennett and Emilio Parrado-Hernández. 2006. The Interplay of Optimization and Machine
 Learning Research. J. Mach. Learn. Res. 7 (December 2006), 1265-1281. [2] Sra, S. and Nowozin, S. and Wright, S.J. Optimization for Machine Learning, Neural information 
processing series, MIT Press, 2012."	"The attendees should have basic Python programming experience. Prior knowledge of optimization
is not required but good to have.The cvx-opt package needs to be pre-installed with the required dependency package as indicated on
the page.  Acquaintance with numpy and matplotlib package is a plus but not mandatory. "	"MS by Research, Graduate student, IIITB.My research area lies in large scale optimization and 
application to real world problems. My research work involved applying such methods to optimize
digital circuits, thereby creating Electronic Design Automation (EDA) tools. Prior to my MS, I
have worked as an embedded design engineer for two years."	You can reach me on Facebook  and find me on Git	[]	2015	False
All Things *Py*	I have already given a variant of this talk at Chennai Python User Group . The slides can be found here	"The Python ecosystem is awesome. We have great tools and wonderful community that encourages people 
to learn and take pride in being a pythonista. Yet there are these small little questions that appears to be trivial but tend to create whole lot of confusion among beginners.Through this talk , I like to revisit some of these questions which everyone should be aware of.We look at questions such as..Other than discussing these questions, we will also do some python bytecode hacking  and  look at some really cool stuff under the hood."		Krishna Sangeeth , ahem myself is a software engineer at one of the IT companies in Chennai. He works mostly in hadoop ecosystem these days using technologies such as spark, impala etc. On his short career at IT he had the bad luck of working in technologies ranging from Fortran 77,  Mainframes to Bigdata technologies which on introspection makes him open to continuous learning. Among all the preachy things he often quotes, he sort of believe in the statement that A good programmer is always language agnostic and it's the solution that counts more than the tool.So he considers himself to be on a journey to become a good one . And Python is  something that he can't resist to put in his backpack for the  journey. 	Talks I feel good aboutMy random musings 	[]	2015	False
An introduction to Computer Vision using OpenCV-Python	Code:	Computer Vision is the process of extracting relevant information from an image or a set of images. Humans have the capability to see and interpret the environment around them. Computer Vision aims to impart a similar capability to machines, wherein they are able to take in data from the outside world and perform tasks accordingly. The data that they acquire is essentially a set of image frames from the camera. Computer Vision makes use of algorithms to work on these images, and interpret them as needed.Computer Vision is a powerful tool, with which we can create applications for gesture and facial recognition, OCR, and also extend this to give vision to robots.The most popular library that is used for Computer Vision is the openCV library. OpenCV also has python bindings that make use of python's 'numpy' module to implement its functions.The talk would be focussed on giving a basic understanding on how we can use the openCV-python library to implement basic computer vision and image processing algorithms. Some of the topics that would be covered in the talk are :We shall see how we can make simple and elegant applications that demonstrate these algorithms.To conclude, this talk is for those who are interested or want to start off with computer vision and image processing using python. 		I am a second year student of BMS College of Engineering, currently pursuing my undergraduate degree (BTech). I have been coding for 5 years now and I take a deep interest in competitive programming and python.	GitHub : https://github.com/Specas	[]	2015	False
Analyzing Python code with Pylint	The project pageBitbucket forgeDocumentationPresentation link	"Given the dynamic nature of Python, some bugs tend to creep in our codebases. Innocents NameErrors or hard-to-find bugs with variables used in a closure,
but defined in a loop, they all stand no chance in front of Pylint (http://pylint.org/).In this talk, I’ll present one of the oldest static analysis tools for Python, with emphasis on what it can do to understand your Python code.
Pylint is both a style checker, enforcing PEP 8 rules, as well as a code checker in the vein of pyflakes and pychecker, but its true power isn’t
always obvious in the eye of beholder, especially when it's hidden through its verbosity. Interpreting its results can be a daunting task,
but there are tricks which can be used to improve its user experience, such as enabling only structural checking with the -E flag or disabling
unwanted category checks.Pylint can detect simple bugs such as unused variables and imports, but it can also detect more complicated cases
such as invalid arguments passed to functions, it understands the method resolution order of your classes, generators, contexts managers and
what special methods aren’t implemented correctly.Starting from abstract syntax trees, we’ll go through its inference engine and we’ll see how Pylint understands the logical flow of your program and
what sort of type hinting techniques are used to improve its inference, including PEP 484 type hints.
Pylint's roadmap includes better understanding of Python code, by improving its flow control analysis, escape analysis, understanding metaclasses and descriptors
and having a better type checker, as well as improving the user experience, by reducing the number of false positives it currently has.
As a bonus, I’ll show how it can be used to help you port your long-forgotten library to Python 3, using its new –py3k mode,
which emits warnings regarding Python 3 compatibility.The talk overview will contain the following aspects:General architecture of Pylint:The types of bugs that Pylint can detect and how can we interpret the reports generated by it and what to focus on in the output for most effective static fixes on the code."	The participants should have a basic understanding of Python. No other prerequisite is necessary, since the other concepts will be explained during the talk.The following concepts will be explained during this talk:	"I'm an open source enthusiast coming from Romania. Lead maintainer of the Pylint project and on my way to becoming a CPython core contributor someday,
I'm also interested in language design, interpreters, static analysis and how languages work under the hood, as well as in building a community around a technology, being the founder of the biggest romanian Python group, RoPython."	Pylint contributionsCPython contributions	[]	2015	False
Analyzing arguments during a debate using Natural Language Processing in Python	The final deck which I am going to use in PyCon is now available on SlideShare at : http://www.slideshare.net/vicknickkgp/analyzing-arguments-during-a-debate-using-natural-language-processing-in-pythonA brief introduction to these topics can be found in the following links:	"This talk will guide you through the application of Python NLP
Techniques to analyze arguments during a debate and define a strategy
to figure out the winner of the debate on the basis of strength and
relevance of the arguments.Let’s take an example to explain it you :
Suppose that, you are discussing with your friend whether PyCon is popular in India or not. The discussion will start with you taking a stance for the topic (Let us assume that you believe, PyCon is popular in India). 
Then, the discussion can progress in four different ways:Through this talk, I will demonstrate how to detect each of these instances using NLP and also how to judge the outcome of this discussion (whether you have won it or not). This will focus on two main NLP techniques: Semantic Similarity and Sentiment Analysis, apart from the use of basic NLTK library functions.Python Packages to be used:I will explain some basic concepts before demonstrating their implementation in this tutorial. They include:"	Though I will be covering most of the basics, a prior experience will help you to easily grasp new concepts. I have given some links to start with in Content URL’s.Having said that, a prior knowledge of the basic Natural Language Processing in Python would be needed such as:What is Natural Language Processing?NLTK Library : Stopwords, Tokenizing, Stemming	I am a fresh graduate and completed my Bachelors and Masters in Technology from Indian Institute of Technology, Kharagpur. I started my journey in the field of Machine Learning 1.5 years ago with the help of Andrew Ng’s Video Lectures followed by working on recommendation systems. Thereafter, my internship at Zomato, centering around Natural Language Processing (Determining Review Highlights from Restaurant Reviews and What Dishes to Order from a Restaurant) helped me to hone my skills in Python and NLP. Recently, I was working on Development of an Automated Argumentation Framework for school students. Most of my work is either for an organization or for research purposes (mainly private repo’s) due to which I am not much active on GitHub. I have provided my social profile links. Please let me know if you have any queries. Facebook: https://www.facebook.com/abhinavkgpTwitter: https://twitter.com/abhinavkgpAbout : https://about.me/abhinavkgp		[{u'text': u'Looking forward to the talk. :)', u'by': u'Adyasha Maharana (~adyasha)', u'time': u'a year ago'}]	2015	True
Architecting large volume streaming data solution in python.		Solutions developed for web, especially over social network have started seeing demand for large scale real time streaming data analytics.  This requires building applications on distributed platform that can scale, reliably process data without any loss, satisfy functional needs and at the same time meet the strict latency requirements .This talk aims at discussing use case for large volume streaming data analysis. Goal of this session would be to cover:	Basic knowledge of Python Programming.		https://www.linkedin.com/in/aniketdalal	"[{u'text': u'Please provide with more details. On what all do you plan to discuss.', u'by': u'konark modi (~konark)', u'time': u'a year ago'}, {u'text': u'The objective is to expose audience on how to build big data streaming architecture. The talk would include 3 aspects: Challenges of building streaming architecture, tools and technologies for building such an architecture and finally Python libraries and tools available that can be used.
Focus is on big data design paradigm and tools available in python to facilitate it.', u'by': u'Aniket Dalal (~aniket2)', u'time': u'a year ago'}]"	2015	False
Automatic Data Validation and Cleaning with PySemantic	Here's a video that explains PySemantic in some detail (Note that it was meant for an audience of non-programmers): Slides will be available shortly.	Data is dirty. Any dataset that isn't properly curated and stored can suffer from many problems like having mixed data types, not being properly encoded or escaped, uneven number of fields, and so on. None of these problems are unsolvable. In fact, most of us are pretty good at cleaning data. Normally, when we know little or nothing about a given dataset, we proceed in a very predictable manner. We first try to read the data naively and see if errors are raised by the parser. If they are, we try to fix our function calls. When those are fixed, we try to run some sanity checks on the data, and end up filtering the dataset, sometimes quite heavily.The problem with this process is that it is iterative, and worse, it is reactive. Everybody in the team has to do it if they are to use the dataset. Sure, one can simply clean it up and dump it in a new file with just a few lines of code. But we shouldn't have to run that script every time we encouter a new dataset. We would be much more comforable if data is cleaned as it is read. It is much more efficient if data cleaning is a part of data ingestion. Secondly, and more importantly, cleaning data via ad-hoc Python scripts is non trivial. Readable as Python scripts might be, it's not always easy for everyone in the team to change the cleaning process. Moreover, there are no Python libraries that offer an abstraction at the level of cleaning and validating data.Therefore, if one has to go through the process of data validation and cleaning in a customizable, modular way, one has to make sure that:PySemantic is a Python module that automates all of this, and more. The purpose of this talk is to introduce this module and talk about the best practices of cleaning and validating data.	Knowledge prerequisites:Software Prerequisites - See https://github.com/motherbox/pysemantic#dependencies	I'm a data scientist at DataCulture Analytics (http://dataculture.io) where I build large scale machine learning applications. Previously I've worked at Enthought, Inc, where I was one of the developers of the Canopy data analysis platform. I've been a research assistant in the fields of machine learning and signal processing at the Tata Institute of Fundamental Research and the University of Pune. I love developing GUI apps and signal processing tools in my free time.		"[{u'text': u'Nice and Challenging Topic.
does this module deal with Data cleansing of text also.', u'by': u'Arthi Venkataraman (~arthi)', u'time': u'a year ago'}, {u'text': u'It directly supports only regular expressions for text cleaning, but it also provides third-party support for arbitrary data cleaning. So you can have all the text cleaning functionality in a separate module and this module will automate all of that.', u'by': u'Jaidev Deshpande (~jaidev)', u'time': u'a year ago'}]"	2015	False
Automating your infrastructure and deployments with Fabric	For the demonstration purpose, We will deploy IRCMan (Built with python and node) which has a fairly complex architecture similar to that of this architecture	In my experience as a Full-Stack and DevOps Engineer, I have seen plenty of startups configure and deploy their applications manually. Most of those startups are not aware of Automated deployments (Or not aware of DRY principles for that matter). It is a time-consuming and error-prone process. And that madness has to stop. This workshop is focussed on solving that problem. We will be using a python library called Fabric. Fabric is not only for python, you can use it for Node / PHP or virtually any other language.  For the demonstration, I will try a deploy a fairly complex polyglot application built with both Python and Node. This is going to be a beginner to intermediate level worksop. At the end of the worksop, you will be able to automate your infrastructure and deployment. Be as much DRY as possible.		I am a Full-Stack and DevOps Engineer. I also build mobile (Native iOS and Android) apps. So build scalable and maintainable stuff for web, mobile and desktop. A GitHub addict. An open-source enthusiast. Vim fanatic. 	Website: http://dhilipsiva.comBlog: http://dhilipsiva.com/blog/GitHub: https://github.com/dhilipsivaTwitter: https://twitter.com/dhilipsivaI go by the name dhilipsiva online.	[]	2015	False
Avoiding common pitfalls of datetime from a webapp's perspective	Have already written a blog post related to Part 1 of the Talk: http://indradhanush.github.io/2015/03/23/dealing-with-datetime-objects-in-python/Any scripts used in the talk will be made available at Github.Final Slides: http://indradhanush.github.io/talks/pycon-india-15/slides.html	The datetime module is easily one of the most used standard libraries of Python. Yet, most of us struggle using it without hitting a snag or two, especially when one has to take care of multiple timezones. This talk is aimed at identifying such snags and how to fix them.This talk is divided into 2 parts. Part 1 deals with the datetime library itself, wherein the audience will get to know about the basic datetime types and common issues that crop up when dealing with datetimes across multiple timezones. It will also demonstrate the idea from a webapp's perspective. That is, how Postgres plays along with your webapp via Django. Knowledge of django is not a requirement as the same rules apply for any other web framework out there. It will be used just to explain the point in a more realistic context.Part 2 will deal with writing tests that depend on a specific time, for example, deleting all auth tokens older than 3 days.Introduction (2 min)Part 1 (20 min)Part 2 (7 min) If time permits the following will also be discussed:Q&A (10 min)	Basic familiarity with Python and the datetime module.	Currently working at Instamojo, the speaker was selected and successfully completed the Google Summer of Code 2014. The speaker loves the field of Networking and wants to learn about internet security. Some technologies he likes to play around with are:		[{u'text': u'A well written proposal.', u'by': u'Kushal Das (~kushal)', u'time': u'a year ago'}, {u'text': u'Thank you!', u'by': u'Indradhanush Gupta (~indradhanush)', u'time': u'a year ago'}]	2015	True
Bayesian Learning using Python		Introduction to SciPy stackIntroduction to Probability TheoryThinking like BayesianistProbabilistic Graphical Models (PGMs)		Abinash Panda is an undergraduate from IIT (BHU) Varanasi and is currently working as a Data Scientist. He has been a contributor to open-source libraries such as Shogun Machine Learning Toolbox and pgmpy which he started writing along with four other members. He is spending most of his free time in improving pgmpy and helping new contributors.Ankur Ankan is a B.Tech graduate from IIT Varanasi who is currently working in the field of data science. He is an open source enthusiast and his major work includes  starting pgmpy with four other members. Presently he is working on improving the performance of pgmpy and also mentoring GSoC students participating under pgmpy. In his free time he likes to participate in Kaggle competitions.	github:twitter	[]	2015	False
Beginning Automation with Ansible	slides available at : http://bhanuvrat.github.io/ansible-workshop/source code shall soon be updated in http://github.com/bhanuvrat/ansible-workshop	"Gather around for an electrifying introduction to Ansible - a configuration mananagement and automation utility made entirely in python.
We shall start understanding the concepts of hosts, tasks, roles and playbooks. With the basics out of the way, we will create a playbook to help us deploy a simple web application."		Programmer, cyclist, bookworm, geek.	http://anuvrat.in/http://github.com/bhanuvrat[Talk on scrapy, PyCon india 13]   http://youtube.com/watch?v=JqabCQkJF3g	"[{u'text': u'@Anuvrat : Thank you for your detailed proposal.', u'by': u'konark modi (~konark)', u'time': u'a year ago'}, {u'text': u'@konark: kindly take a look at the slides as well ...
shall soon be adding some code to them.', u'by': u'Anuvrat Parashar (~bhanuvrat)', u'time': u'a year ago'}]"	2015	False
Behavior-driven development | Web Testing automation		Many of us work for startups. And as the web application grow testing becomes more and more complex. Increasing scope of missing cases in manual testing. And many of us busy shipping and coding do not pay much attention to developing end to end tests. Using some great Python libraries and BDD techniques, developing web automation testing can be great fun.This talk/workshop aims to introduce Behavior driven development testing.Introduction to The Gherkin language.Benefits of Gherkin such as manager contributing to writing test cases.As we understand BDD Testing and Gherkin, we need to find the python implementations. Meet Behave. Among the most implementation of BDD for Python. Give that majority of us are working on web projects, we shall explore automating some web test cases. We will primarily use Splinter.As we know the concepts and the tools now we shall dig further topics		Shekhar <3 building products using open source technologies especially Python. Lately flirting with building web UIs with HTML5 Javascript CSS. He is currently helping Scroll.in building digital daily.	He maintains few open source project and contributes other projects as much as he can.Python HTML generation library: http://pypi.python.org/pypi/sphcStackoverflow : http://stackoverflow.com/users/84513/pythonic	[]	2015	False
Build Python Web Apps in a breeze with Visual Studio!		Use your favorite- Python and deploy web apps in a breeze using Python tools for Visual Studio! Check out how to create a web application using the Bottle web framework or alternately Django or Flask in VS and deploy to Azure Web apps via Windows, Mac/Linux (tools or command line). We will also see how to configure our web application to use Azure storage or MongoDB and publish it.		"Hello! Thanks for reading my talk-proposal. My name is Sameeksha Khare. I work as a technology Evangelist with Microsoft. Currently I am focusing on Azure and Windows. I am really excited about Pycon and I hope you liked my abstract!
Don't forget to vote!
Thanks again."	"BLOG: http://blogs.technet.com/b/sams_blog/ 
LINKEDIN: https://www.linkedin.com/profile/view?id=86895122&trk=hp-identity-name 
TWITTER: https://twitter.com/SameekshaKhare "	[{u'text': u'@arocks: and probably it got so many votes because it sounds interesting, why else I wonder', u'by': u'Sameeksha Khare (~sameeksha)', u'time': u'a year ago'}, {u'text': u'@arocks: intent here is to help Python developers code faster using the VS IDE with VS Tools for Python. The focus is on Python tools for developer productivity', u'by': u'Sameeksha Khare (~sameeksha)', u'time': u'a year ago'}]	2015	False
Build Self Driving Vehicles using only Python!	"A Basic Content Summary and a run-down of topics to be covered can be found here : http://www.slideshare.net/arushk/pycon-2015-build-self-driving-cars-with-pythonThis is in no way, the final slide. This is just an overview of content. More visuals, code and beautification will be done in the final slide!
You can also mail me at arushk1@gmail.com to provide any feedback."	This talk is a starters guide to building self driving cars, robots, even drones! It gives the listeners all the software tools to start building their very own Self-Driving Vehicle. All the concepts outlined in this talk can be used independently of each other to obtain a certain degree of semi-automation. The tools it uses are all open-source and one can start their projects using minimal amount of code. I am going to talk about the theory behind, and it's implementation in Python. Mainly the following tools will be used :The main concepts that are going to be taught are :You can also mail me at arushk1@gmail.com to provide any feedback.		Arush Kakkar is an undergraduate student at Delhi Technological University, with research interest in Computer Vision and Robotics. He has worked on navigation problems involving drones and vehicles in both corporate research and academic research, the latest stint being as a visiting researcher at TU Graz, Austria. He is a technical reviewer at a major technical publishing house and working on his own book on Robotics and Computer Vision. He is also a part of the solar car Team of DTU, Solaris, incharge of designing a telemetry and vehicle diagnostic system for the optimum functioning of the solar car. His work on both the hardware and software side of things has led him to deeply understand their relationship and hence conditions for their optimum functioning together.You can also mail me at arushk1@gmail.com to provide any feedback.		[{u'text': u'I have got really high expectations from this one. Hopefully it would be good.', u'by': u'Rishi Bhatnagar (~rishi)', u'time': u'a year ago'}, {u'text': u'Thanks! Hopefully I'll meet them.', u'by': u'arushk1', u'time': u'a year ago'}]	2015	False
